NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
FRA;2006;Winter;Alpine Skiing;2;11
GER;2004;Summer;Diving;2;9
CUB;2012;Summer;Athletics;2;25
BLR;2010;Winter;Biathlon;2;6
CHN;2012;Summer;Rowing;2;11
CHN;2012;Summer;Judo;2;11
CHN;2004;Summer;Taekwondo;2;11
ARG;2016;Summer;Sailing;2;15
ARG;2012;Summer;Sailing;2;15
ARG;2008;Summer;Sailing;2;15
ARG;2008;Summer;Cycling;2;15
BLR;2008;Summer;Wrestling;2;6
GER;2012;Summer;Beach Volleyball;2;9
CHN;2004;Summer;Tennis;2;11
CHN;2016;Summer;Wrestling;2;11
ARG;2004;Summer;Sailing;2;15
BLR;2012;Summer;Weightlifting;2;6
ALG;2016;Summer;Athletics;2;23
BLR;2012;Summer;Swimming;2;6
CHN;2006;Winter;Freestyle Skiing;2;11
ALG;2008;Summer;Judo;2;23
CHN;2008;Summer;Tennis;2;11
CHN;2008;Summer;Taekwondo;2;11
FRA;2012;Summer;Canoeing;2;11
CHN;2006;Winter;Speed Skating;2;11
CHN;2008;Summer;Sailing;2;11
CHN;2008;Summer;Athletics;2;11
CHN;2008;Summer;Canoeing;2;11
ARG;2004;Summer;Tennis;2;15
CHN;2016;Summer;Judo;2;11
COL;2016;Summer;Cycling;2;25
COL;2016;Summer;Boxing;2;25
BRA;2000;Summer;Judo;2;25
FRA;2012;Summer;Taekwondo;2;11
CIV;2016;Summer;Taekwondo;2;10
CHN;2004;Summer;Canoeing;2;11
GER;2008;Summer;Fencing;2;9
AUS;2000;Summer;Beach Volleyball;2;22
GER;2008;Summer;Gymnastics;2;9
CHN;2016;Summer;Taekwondo;2;11
FRA;2012;Summer;Shooting;2;11
ARM;2008;Summer;Wrestling;2;7
ARM;2016;Summer;Wrestling;2;7
GER;2010;Winter;Skeleton;2;9
BLR;2016;Summer;Weightlifting;2;6
CHN;2016;Summer;Cycling;2;11
FRA;2008;Summer;Gymnastics;2;11
ARM;2016;Summer;Weightlifting;2;7
FRA;2012;Summer;Rowing;2;11
ARM;2012;Summer;Wrestling;2;7
GER;2010;Winter;Figure Skating;2;9
CHN;2014;Winter;Freestyle Skiing;2;11
BLR;2014;Winter;Freestyle Skiing;2;6
FRA;2008;Summer;Wrestling;2;11
COL;2016;Summer;Weightlifting;2;25
GER;2008;Summer;Sailing;2;9
ESP;2004;Summer;Beach Volleyball;2;13
BUL;2004;Summer;Shooting;2;11
ESP;2016;Summer;Athletics;2;13
BUL;2004;Summer;Weightlifting;2;11
GBR;2000;Summer;Badminton;2;12
ESP;2012;Summer;Swimming;2;13
FRA;2000;Summer;Gymnastics;2;11
CAN;2000;Summer;Canoeing;2;-5
ESP;2004;Summer;Tennis;2;13
AUS;2016;Summer;Diving;2;22
ESP;2004;Summer;Gymnastics;2;13
CAN;2014;Winter;Snowboarding;2;-5
AUS;2016;Summer;Athletics;2;22
ESP;2016;Summer;Tennis;2;13
AUT;2010;Winter;Snowboarding;2;6
ESP;2000;Summer;Tennis;2;13
BRA;2012;Summer;Swimming;2;25
AUS;2014;Winter;Freestyle Skiing;2;22
ESP;2000;Summer;Cycling;2;13
EGY;2016;Summer;Weightlifting;2;22
AUT;2014;Winter;Luge;2;6
DOM;2012;Summer;Athletics;2;25
FRA;2000;Summer;Shooting;2;11
CAN;2000;Summer;Tennis;2;-5
CAN;2000;Summer;Trampolining;2;-5
ESP;2004;Summer;Canoeing;2;13
GBR;2000;Summer;Canoeing;2;12
GBR;2000;Summer;Modern Pentathlon;2;12
FIN;2008;Summer;Shooting;2;2
FIN;2008;Summer;Rowing;2;2
BRN;2016;Summer;Athletics;2;27
FIN;2006;Winter;Cross Country Skiing;2;2
AUT;2006;Winter;Luge;2;6
GBR;2000;Summer;Shooting;2;12
BUL;2000;Summer;Gymnastics;2;11
FIN;2000;Summer;Sailing;2;2
BUL;2000;Summer;Shooting;2;11
BRA;2016;Summer;Sailing;2;25
ESP;2016;Summer;Swimming;2;13
AUT;2004;Summer;Swimming;2;6
ESP;2016;Summer;Taekwondo;2;13
BUL;2000;Summer;Wrestling;2;11
BUL;2002;Winter;Short Track Speed Skating;2;11
GBR;2004;Summer;Diving;2;12
BUL;2004;Summer;Gymnastics;2;11
BUL;2004;Summer;Rowing;2;11
EST;2008;Summer;Rowing;2;5
AUT;2002;Winter;Cross Country Skiing;2;6
GBR;2004;Summer;Swimming;2;12
FRA;2000;Summer;Boxing;2;11
EST;2000;Summer;Judo;2;5
GBR;2012;Summer;Judo;2;12
GBR;2004;Summer;Badminton;2;12
GEO;2004;Summer;Judo;2;6
AUT;2014;Winter;Snowboarding;2;6
CZE;2014;Winter;Speed Skating;2;4
AZE;2016;Summer;Boxing;2;12
AZE;2016;Summer;Canoeing;2;12
AUS;2004;Summer;Shooting;2;22
AZE;2016;Summer;Judo;2;12
BRA;2012;Summer;Sailing;2;25
GBR;2016;Summer;Shooting;2;12
CZE;2012;Summer;Tennis;2;4
CZE;2012;Summer;Rowing;2;4
FRA;2002;Winter;Figure Skating;2;11
CAN;2008;Summer;Trampolining;2;-5
BAH;2004;Summer;Athletics;2;25
AZE;2012;Summer;Boxing;2;12
GEO;2016;Summer;Judo;2;6
GEO;2016;Summer;Weightlifting;2;6
CAN;2012;Summer;Wrestling;2;-5
CZE;2008;Summer;Canoeing;2;4
CAN;2014;Winter;Bobsleigh;2;-5
GER;2000;Summer;Beach Volleyball;2;9
BUL;2000;Summer;Canoeing;2;11
CZE;2004;Summer;Shooting;2;4
DEN;2004;Summer;Badminton;2;8
CAN;2014;Winter;Speed Skating;2;-5
CZE;2004;Summer;Canoeing;2;4
CZE;2012;Summer;Athletics;2;4
CAN;2004;Summer;Cycling;2;-5
BRA;2008;Summer;Swimming;2;25
AUS;2010;Winter;Freestyle Skiing;2;22
DEN;2008;Summer;Sailing;2;8
AUS;2008;Summer;Triathlon;2;22
CAN;2002;Winter;Figure Skating;2;-5
FRA;2016;Summer;Shooting;2;11
DEN;2008;Summer;Canoeing;2;8
CAN;2002;Winter;Freestyle Skiing;2;-5
GBR;2012;Summer;Taekwondo;2;12
DEN;2004;Summer;Table Tennis;2;8
AUT;2016;Summer;Sailing;2;6
CAN;2008;Summer;Wrestling;2;-5
AZE;2004;Summer;Shooting;2;12
FRA;2000;Summer;Synchronized Swimming;2;11
DEN;2004;Summer;Athletics;2;8
GBR;2012;Summer;Triathlon;2;12
AZE;2008;Summer;Judo;2;12
FRA;2000;Summer;Table Tennis;2;11
CAN;2004;Summer;Sailing;2;-5
GBR;2016;Summer;Badminton;2;12
CAN;2006;Winter;Bobsleigh;2;-5
CAN;2008;Summer;Athletics;2;-5
CAN;2008;Summer;Canoeing;2;-5
AUS;2006;Winter;Freestyle Skiing;2;22
CAN;2008;Summer;Diving;2;-5
AZE;2004;Summer;Boxing;2;12
NZL;2008;Summer;Athletics;2;11
POL;2012;Summer;Sailing;2;8
POL;2012;Summer;Rowing;2;8
POL;2012;Summer;Canoeing;2;8
POL;2012;Summer;Athletics;2;8
POL;2010;Winter;Ski Jumping;2;8
POL;2008;Summer;Canoeing;2;8
POL;2008;Summer;Athletics;2;8
POL;2004;Summer;Rowing;2;8
POL;2004;Summer;Canoeing;2;8
NOR;2000;Summer;Canoeing;2;2
POL;2000;Summer;Rowing;2;8
POL;2016;Summer;Cycling;2;8
NZL;2004;Summer;Triathlon;2;11
NZL;2004;Summer;Rowing;2;11
NZL;2000;Summer;Sailing;2;11
NOR;2010;Winter;Freestyle Skiing;2;2
NOR;2008;Summer;Swimming;2;2
NOR;2008;Summer;Athletics;2;2
NOR;2006;Winter;Nordic Combined;2;2
NOR;2002;Winter;Speed Skating;2;2
RUS;2012;Summer;Taekwondo;2;-5
POL;2002;Winter;Ski Jumping;2;8
RSA;2000;Summer;Swimming;2;18
JPN;2004;Summer;Athletics;2;11
RUS;2012;Summer;Badminton;2;-5
RUS;2010;Winter;Speed Skating;2;-5
RUS;2010;Winter;Bobsleigh;2;-5
RUS;2008;Summer;Gymnastics;2;-5
RUS;2000;Summer;Trampolining;2;-5
RUS;2000;Summer;Tennis;2;-5
RUS;2000;Summer;Swimming;2;-5
RSA;2016;Summer;Rowing;2;18
POL;2012;Summer;Weightlifting;2;8
RSA;2004;Summer;Athletics;2;18
POL;2014;Winter;Ski Jumping;2;8
ROU;2016;Summer;Tennis;2;9
ROU;2012;Summer;Weightlifting;2;9
ROU;2012;Summer;Judo;2;9
ROU;2008;Summer;Fencing;2;9
ROU;2004;Summer;Swimming;2;9
ROU;2000;Summer;Boxing;2;9
PRK;2008;Summer;Weightlifting;2;6
POR;2012;Summer;Canoeing;2;15
POR;2004;Summer;Athletics;2;15
NOR;2000;Summer;Athletics;2;2
RSA;2004;Summer;Rowing;2;18
KOR;2000;Summer;Gymnastics;2;12
KOR;2016;Summer;Badminton;2;12
KOR;2012;Summer;Taekwondo;2;12
KOR;2012;Summer;Swimming;2;12
KOR;2012;Summer;Badminton;2;12
KOR;2008;Summer;Swimming;2;12
KOR;2008;Summer;Shooting;2;12
KOR;2004;Summer;Wrestling;2;12
KOR;2004;Summer;Weightlifting;2;12
KOR;2004;Summer;Gymnastics;2;12
NOR;2000;Summer;Rowing;2;2
KOR;2000;Summer;Table Tennis;2;12
LAT;2010;Winter;Luge;2;6
KOR;2000;Summer;Fencing;2;12
KGZ;2008;Summer;Wrestling;2;2
KAZ;2016;Summer;Judo;2;6
KAZ;2008;Summer;Boxing;2;6
JPN;2012;Summer;Boxing;2;11
JPN;2012;Summer;Badminton;2;11
JPN;2010;Winter;Figure Skating;2;11
JPN;2008;Summer;Synchronized Swimming;2;11
JPN;2004;Summer;Sailing;2;11
KOR;2004;Summer;Boxing;2;12
MEX;2004;Summer;Taekwondo;2;21
NED;2016;Summer;Swimming;2;9
NED;2016;Summer;Sailing;2;9
NED;2016;Summer;Beach Volleyball;2;9
NED;2012;Summer;Judo;2;9
NED;2000;Summer;Tennis;2;9
MGL;2012;Summer;Judo;2;-1
MGL;2012;Summer;Boxing;2;-1
MGL;2008;Summer;Boxing;2;-1
MEX;2012;Summer;Archery;2;21
KOR;2016;Summer;Fencing;2;12
MEX;2008;Summer;Diving;2;21
KOR;2016;Summer;Shooting;2;12
MEX;2000;Summer;Athletics;2;21
MDA;2012;Summer;Weightlifting;2;9
MAS;2016;Summer;Diving;2;25
MAR;2008;Summer;Athletics;2;17
LTU;2016;Summer;Canoeing;2;6
LTU;2008;Summer;Modern Pentathlon;2;6
LTU;2004;Summer;Athletics;2;6
LTU;2000;Summer;Rowing;2;6
LAT;2012;Summer;Beach Volleyball;2;6
RUS;2014;Winter;Skeleton;2;-5
MEX;2008;Summer;Taekwondo;2;21
UKR;2000;Summer;Diving;2;8
UKR;2012;Summer;Shooting;2;8
UKR;2012;Summer;Fencing;2;8
UKR;2008;Summer;Weightlifting;2;8
UKR;2008;Summer;Diving;2;8
UKR;2008;Summer;Canoeing;2;8
UKR;2008;Summer;Boxing;2;8
UKR;2006;Winter;Figure Skating;2;8
UKR;2004;Summer;Wrestling;2;8
UKR;2004;Summer;Weightlifting;2;8
TPE;2008;Summer;Weightlifting;2;10
UKR;2000;Summer;Sailing;2;8
USA;2000;Summer;Beach Volleyball;2;9
UKR;2000;Summer;Athletics;2;8
TUR;2012;Summer;Taekwondo;2;11
TUR;2012;Summer;Athletics;2;11
TUR;2008;Summer;Wrestling;2;11
TUR;2008;Summer;Taekwondo;2;11
TUR;2000;Summer;Wrestling;2;11
TUN;2012;Summer;Swimming;2;19
TTO;2000;Summer;Athletics;2;26
RUS;2012;Summer;Cycling;2;-5
UKR;2000;Summer;Wrestling;2;8
USA;2008;Summer;Sailing;2;9
VIE;2016;Summer;Shooting;2;24
UZB;2016;Summer;Judo;2;12
UZB;2008;Summer;Wrestling;2;12
UZB;2008;Summer;Judo;2;12
UZB;2004;Summer;Boxing;2;12
USA;2016;Summer;Judo;2;9
USA;2016;Summer;Beach Volleyball;2;9
USA;2014;Winter;Skeleton;2;9
USA;2012;Summer;Taekwondo;2;9
UKR;2012;Summer;Weightlifting;2;8
USA;2012;Summer;Boxing;2;9
UKR;2016;Summer;Gymnastics;2;8
USA;2006;Winter;Bobsleigh;2;9
USA;2006;Winter;Alpine Skiing;2;9
USA;2004;Summer;Taekwondo;2;9
USA;2004;Summer;Fencing;2;9
USA;2004;Summer;Cycling;2;9
USA;2004;Summer;Boxing;2;9
USA;2002;Winter;Alpine Skiing;2;9
USA;2000;Summer;Weightlifting;2;9
USA;2000;Summer;Cycling;2;9
TPE;2008;Summer;Taekwondo;2;10
USA;2012;Summer;Judo;2;9
SLO;2016;Summer;Judo;2;9
SUI;2014;Winter;Bobsleigh;2;15
SUI;2010;Winter;Ski Jumping;2;15
SUI;2008;Summer;Tennis;2;15
SUI;2006;Winter;Skeleton;2;15
SUI;2004;Summer;Beach Volleyball;2;15
SUI;2002;Winter;Snowboarding;2;15
SUI;2002;Winter;Ski Jumping;2;15
SUI;2000;Summer;Triathlon;2;15
SUI;2000;Summer;Cycling;2;15
TPE;2016;Summer;Weightlifting;2;10
SRB;2012;Summer;Shooting;2;11
SUI;2016;Summer;Tennis;2;15
SLO;2014;Winter;Snowboarding;2;9
SLO;2014;Winter;Ski Jumping;2;9
SLO;2014;Winter;Alpine Skiing;2;9
SLO;2012;Summer;Rowing;2;9
SLO;2010;Winter;Alpine Skiing;2;9
SLO;2004;Summer;Rowing;2;9
SLO;2000;Summer;Rowing;2;9
RUS;2016;Summer;Tennis;2;-5
RUS;2016;Summer;Canoeing;2;-5
SRB;2016;Summer;Canoeing;2;11
SWE;2008;Summer;Cycling;2;19
TPE;2000;Summer;Weightlifting;2;10
TPE;2000;Summer;Taekwondo;2;10
THA;2016;Summer;Taekwondo;2;26
THA;2008;Summer;Boxing;2;26
THA;2000;Summer;Boxing;2;26
SWE;2016;Summer;Wrestling;2;19
SWE;2016;Summer;Cycling;2;19
SWE;2012;Summer;Wrestling;2;19
SWE;2010;Winter;Alpine Skiing;2;19
SUI;2014;Winter;Cross Country Skiing;2;15
SWE;2008;Summer;Sailing;2;19
SUI;2016;Summer;Cycling;2;15
SWE;2006;Winter;Biathlon;2;19
SWE;2004;Summer;Sailing;2;19
SWE;2004;Summer;Canoeing;2;19
SWE;2002;Winter;Biathlon;2;19
SWE;2002;Winter;Alpine Skiing;2;19
SWE;2000;Summer;Shooting;2;19
SWE;2000;Summer;Canoeing;2;19
SVK;2012;Summer;Shooting;2;7
SVK;2000;Summer;Swimming;2;7
POL;2000;Summer;Weightlifting;2;8
SWE;2008;Summer;Tennis;2;19
ITA;2016;Summer;Beach Volleyball;2;13
HKG;2004;Summer;Table Tennis;2;10
INA;2008;Summer;Weightlifting;2;26
GRE;2004;Summer;Diving;2;15
ITA;2012;Summer;Taekwondo;2;13
ITA;2014;Winter;Alpine Skiing;2;13
HUN;2012;Summer;Judo;2;11
ITA;2008;Summer;Swimming;2;13
IND;2012;Summer;Wrestling;2;24
ITA;2016;Summer;Cycling;2;13
ITA;2016;Summer;Judo;2;13
GER;2016;Summer;Sailing;2;9
ITA;2004;Summer;Gymnastics;2;13
GER;2016;Summer;Gymnastics;2;9
IRI;2000;Summer;Weightlifting;2;17
IOA;2016;Summer;Shooting;2;10
GRE;2008;Summer;Rowing;2;15
GRE;2016;Summer;Sailing;2;15
GRE;2016;Summer;Shooting;2;15
ITA;2000;Summer;Shooting;2;13
ITA;2000;Summer;Sailing;2;13
INA;2016;Summer;Weightlifting;2;26
GRE;2012;Summer;Rowing;2;15
ITA;2012;Summer;Rowing;2;13
ITA;2002;Winter;Figure Skating;2;13
GRE;2004;Summer;Rowing;2;15
INA;2012;Summer;Weightlifting;2;26
ITA;2000;Summer;Athletics;2;13
ISR;2016;Summer;Judo;2;19
IND;2012;Summer;Shooting;2;24
GRE;2004;Summer;Taekwondo;2;15
IRL;2016;Summer;Rowing;2;9
INA;2016;Summer;Badminton;2;26
GER;2016;Summer;Beach Volleyball;2;9
POL;2004;Summer;Athletics;2;8
ITA;2008;Summer;Sailing;2;13
GER;2014;Winter;Snowboarding;2;9
HUN;2004;Summer;Swimming;2;11
ITA;2008;Summer;Athletics;2;13
IRI;2004;Summer;Taekwondo;2;17
GER;2014;Winter;Figure Skating;2;9
ITA;2006;Winter;Bobsleigh;2;13
IRI;2016;Summer;Weightlifting;2;17
SUI;2010;Winter;Freestyle Skiing;1;15
BUL;2004;Summer;Judo;1;11
SUI;2010;Winter;Snowboarding;1;15
BUL;2004;Summer;Wrestling;1;11
SUI;2012;Summer;Cycling;1;15
BOT;2012;Summer;Athletics;1;22
SUI;2012;Summer;Equestrianism;1;15
BUL;2006;Winter;Short Track Speed Skating;1;11
SWE;2012;Summer;Shooting;1;19
SUI;2012;Summer;Tennis;1;15
BUL;2002;Winter;Biathlon;1;11
SUI;2012;Summer;Triathlon;1;15
SWE;2012;Summer;Equestrianism;1;19
SWE;2010;Winter;Biathlon;1;19
SUI;2014;Winter;Biathlon;1;15
GER;2000;Summer;Taekwondo;1;9
BUL;2000;Summer;Rowing;1;11
BUL;2004;Summer;Boxing;1;11
SWE;2014;Winter;Freestyle Skiing;1;19
SWE;2016;Summer;Equestrianism;1;19
SUI;2004;Summer;Fencing;1;15
SUI;2004;Summer;Triathlon;1;15
CAN;2000;Summer;Taekwondo;1;-5
HUN;2004;Summer;Modern Pentathlon;1;11
SUI;2006;Winter;Figure Skating;1;15
CAN;2000;Summer;Swimming;1;-5
BLR;2016;Summer;Athletics;1;6
SUI;2010;Winter;Cross Country Skiing;1;15
CAN;2000;Summer;Judo;1;-5
BUL;2008;Summer;Rowing;1;11
BLR;2016;Summer;Swimming;1;6
SUI;2008;Summer;Judo;1;15
BUL;2016;Summer;Wrestling;1;11
BLR;2016;Summer;Trampolining;1;6
HUN;2004;Summer;Shooting;1;11
BUL;2016;Summer;Athletics;1;11
BUL;2012;Summer;Wrestling;1;11
BUL;2012;Summer;Boxing;1;11
SWE;2012;Summer;Triathlon;1;19
SUI;2006;Winter;Freestyle Skiing;1;15
SWE;2004;Summer;Wrestling;1;19
SVK;2008;Summer;Wrestling;1;7
INA;2004;Summer;Weightlifting;1;26
BRA;2012;Summer;Modern Pentathlon;1;25
HUN;2008;Summer;Wrestling;1;11
BRA;2004;Summer;Equestrianism;1;25
SVK;2014;Winter;Biathlon;1;7
BRA;2012;Summer;Gymnastics;1;25
SVK;2016;Summer;Athletics;1;7
BUL;2000;Summer;Athletics;1;11
HUN;2016;Summer;Athletics;1;11
BRA;2004;Summer;Athletics;1;25
HUN;2012;Summer;Athletics;1;11
SWE;2000;Summer;Sailing;1;19
HUN;2012;Summer;Fencing;1;11
BRA;2008;Summer;Taekwondo;1;25
HUN;2012;Summer;Modern Pentathlon;1;11
SWE;2000;Summer;Table Tennis;1;19
SWE;2000;Summer;Wrestling;1;19
HUN;2012;Summer;Gymnastics;1;11
SWE;2002;Winter;Cross Country Skiing;1;19
SWE;2000;Summer;Athletics;1;19
SUI;2016;Summer;Triathlon;1;15
GER;2000;Summer;Triathlon;1;9
SVK;2004;Summer;Shooting;1;7
SUI;2016;Summer;Gymnastics;1;15
SWE;2002;Winter;Snowboarding;1;19
BRN;2012;Summer;Athletics;1;27
SUI;2016;Summer;Shooting;1;15
BRA;2016;Summer;Taekwondo;1;25
BRA;2016;Summer;Swimming;1;25
HUN;2004;Summer;Weightlifting;1;11
SVK;2008;Summer;Shooting;1;7
HUN;2004;Summer;Wrestling;1;11
BRA;2016;Summer;Athletics;1;25
GER;2002;Winter;Alpine Skiing;1;9
SWE;2008;Summer;Equestrianism;1;19
SVK;2004;Summer;Judo;1;7
CAN;2000;Summer;Triathlon;1;-5
HUN;2008;Summer;Fencing;1;11
SRI;2000;Summer;Athletics;1;27
BRA;2016;Summer;Boxing;1;25
SVK;2006;Winter;Snowboarding;1;7
GER;2000;Summer;Tennis;1;9
BRA;2016;Summer;Shooting;1;25
RUS;2016;Summer;Taekwondo;1;-5
CAN;2004;Summer;Gymnastics;1;-5
CHI;2008;Summer;Tennis;1;8
RUS;2012;Summer;Shooting;1;-5
GEO;2008;Summer;Judo;1;6
CAN;2016;Summer;Wrestling;1;-5
CAN;2016;Summer;Trampolining;1;-5
RUS;2012;Summer;Trampolining;1;-5
RUS;2014;Winter;Freestyle Skiing;1;-5
GEO;2008;Summer;Shooting;1;6
CAN;2016;Summer;Equestrianism;1;-5
GEO;2004;Summer;Wrestling;1;6
RUS;2016;Summer;Sailing;1;-5
CHN;2000;Summer;Cycling;1;11
GEO;2012;Summer;Judo;1;6
SCG;2000;Summer;Shooting;1;10
SCG;2004;Summer;Shooting;1;10
SGP;2016;Summer;Swimming;1;26
IRI;2000;Summer;Taekwondo;1;17
SLO;2000;Summer;Shooting;1;9
SLO;2004;Summer;Athletics;1;9
SLO;2004;Summer;Judo;1;9
CAN;2014;Winter;Alpine Skiing;1;-5
CAN;2012;Summer;Weightlifting;1;-5
RUS;2016;Summer;Modern Pentathlon;1;-5
RUS;2006;Winter;Freestyle Skiing;1;-5
RUS;2000;Summer;Canoeing;1;-5
RUS;2000;Summer;Modern Pentathlon;1;-5
CHN;2004;Summer;Sailing;1;11
IRI;2004;Summer;Weightlifting;1;17
RUS;2000;Summer;Taekwondo;1;-5
GEO;2000;Summer;Boxing;1;6
GEO;2000;Summer;Judo;1;6
CHN;2004;Summer;Cycling;1;11
RUS;2004;Summer;Modern Pentathlon;1;-5
CHN;2004;Summer;Boxing;1;11
CHN;2000;Summer;Athletics;1;11
RUS;2004;Summer;Trampolining;1;-5
SLO;2008;Summer;Athletics;1;9
RUS;2006;Winter;Luge;1;-5
RUS;2008;Summer;Archery;1;-5
CHN;2000;Summer;Wrestling;1;11
GEO;2000;Summer;Weightlifting;1;6
CHN;2000;Summer;Taekwondo;1;11
RUS;2008;Summer;Modern Pentathlon;1;-5
RUS;2010;Winter;Skeleton;1;-5
RUS;2010;Winter;Snowboarding;1;-5
IRI;2000;Summer;Wrestling;1;17
GEO;2004;Summer;Weightlifting;1;6
RUS;2004;Summer;Swimming;1;-5
SWE;2016;Summer;Golf;1;19
IND;2012;Summer;Badminton;1;24
SRB;2012;Summer;Taekwondo;1;11
SRB;2016;Summer;Athletics;1;11
CAN;2006;Winter;Freestyle Skiing;1;-5
CAN;2006;Winter;Figure Skating;1;-5
IND;2008;Summer;Wrestling;1;24
SRB;2016;Summer;Taekwondo;1;11
SRB;2016;Summer;Wrestling;1;11
CAN;2004;Summer;Wrestling;1;-5
CAN;2004;Summer;Trampolining;1;-5
CAN;2012;Summer;Trampolining;1;-5
SUD;2008;Summer;Athletics;1;27
SRB;2008;Summer;Swimming;1;11
IND;2008;Summer;Shooting;1;24
SUI;2000;Summer;Rowing;1;15
SUI;2000;Summer;Shooting;1;15
IND;2008;Summer;Boxing;1;24
SUI;2002;Winter;Alpine Skiing;1;15
SUI;2002;Winter;Skeleton;1;15
IND;2004;Summer;Shooting;1;24
IND;2000;Summer;Weightlifting;1;24
GER;2000;Summer;Judo;1;9
CAN;2002;Winter;Cross Country Skiing;1;-5
THA;2012;Summer;Boxing;1;26
IND;2016;Summer;Badminton;1;24
CAN;2000;Summer;Wrestling;1;-5
CAN;2012;Summer;Judo;1;-5
SLO;2008;Summer;Judo;1;9
SLO;2008;Summer;Sailing;1;9
SLO;2008;Summer;Shooting;1;9
SLO;2008;Summer;Swimming;1;9
CAN;2012;Summer;Athletics;1;-5
IND;2016;Summer;Wrestling;1;24
SLO;2010;Winter;Cross Country Skiing;1;9
CAN;2010;Winter;Skeleton;1;-5
CAN;2006;Winter;Snowboarding;1;-5
SLO;2012;Summer;Judo;1;9
SRB;2008;Summer;Tennis;1;11
SLO;2012;Summer;Shooting;1;9
SLO;2014;Winter;Biathlon;1;9
SLO;2014;Winter;Cross Country Skiing;1;9
CAN;2008;Summer;Triathlon;1;-5
CAN;2008;Summer;Taekwondo;1;-5
CAN;2008;Summer;Swimming;1;-5
IND;2012;Summer;Boxing;1;24
SLO;2016;Summer;Canoeing;1;9
GER;2000;Summer;Boxing;1;9
SLO;2016;Summer;Sailing;1;9
SLO;2004;Summer;Sailing;1;9
SLO;2012;Summer;Athletics;1;9
USA;2000;Summer;Modern Pentathlon;1;9
AUS;2002;Winter;Freestyle Skiing;1;22
AUS;2008;Summer;Shooting;1;22
UKR;2016;Summer;Modern Pentathlon;1;8
UKR;2016;Summer;Rhythmic Gymnastics;1;8
UKR;2016;Summer;Shooting;1;8
UKR;2016;Summer;Wrestling;1;8
AUS;2008;Summer;Cycling;1;22
URU;2000;Summer;Cycling;1;18
GER;2008;Summer;Triathlon;1;9
USA;2000;Summer;Diving;1;9
UKR;2012;Summer;Wrestling;1;8
AUS;2004;Summer;Tennis;1;22
GRE;2004;Summer;Weightlifting;1;15
USA;2000;Summer;Taekwondo;1;9
GER;2008;Summer;Weightlifting;1;9
GER;2008;Summer;Wrestling;1;9
GRE;2004;Summer;Judo;1;15
USA;2004;Summer;Canoeing;1;9
GRE;2004;Summer;Gymnastics;1;15
USA;2004;Summer;Judo;1;9
