NOC;Year;Season;Sport;Medallas_Cant;Temp_prom
GRE;2000;Summer;Wrestling;1;15
USA;2004;Summer;Tennis;1;9
AUS;2004;Summer;Archery;1;22
THA;2008;Summer;Taekwondo;1;26
AUS;2004;Summer;Triathlon;1;22
UKR;2008;Summer;Cycling;1;8
UKR;2004;Summer;Judo;1;8
UKR;2004;Summer;Rhythmic Gymnastics;1;8
UKR;2004;Summer;Shooting;1;8
AUS;2016;Summer;Modern Pentathlon;1;22
UKR;2004;Summer;Trampolining;1;8
GRE;2016;Summer;Athletics;1;15
UKR;2006;Winter;Biathlon;1;8
GRE;2012;Summer;Judo;1;15
UKR;2008;Summer;Archery;1;8
AUS;2014;Winter;Snowboarding;1;22
UKR;2016;Summer;Athletics;1;8
AUS;2012;Summer;Triathlon;1;22
USA;2004;Summer;Triathlon;1;9
GER;2008;Summer;Judo;1;9
UKR;2008;Summer;Gymnastics;1;8
UKR;2008;Summer;Judo;1;8
AUS;2012;Summer;Diving;1;22
UKR;2008;Summer;Modern Pentathlon;1;8
UKR;2008;Summer;Rhythmic Gymnastics;1;8
GER;2008;Summer;Modern Pentathlon;1;9
GRE;2008;Summer;Athletics;1;15
AUS;2010;Winter;Snowboarding;1;22
UKR;2012;Summer;Gymnastics;1;8
GRE;2004;Summer;Wrestling;1;15
GRE;2008;Summer;Taekwondo;1;15
VEN;2004;Summer;Weightlifting;1;25
AUS;2002;Winter;Short Track Speed Skating;1;22
GER;2016;Summer;Archery;1;9
ARG;2012;Summer;Tennis;1;15
ARG;2012;Summer;Taekwondo;1;15
UZB;2008;Summer;Trampolining;1;12
UZB;2012;Summer;Boxing;1;12
ARG;2008;Summer;Judo;1;15
UZB;2012;Summer;Judo;1;12
UZB;2012;Summer;Wrestling;1;12
UZB;2016;Summer;Weightlifting;1;12
UZB;2008;Summer;Gymnastics;1;12
ARG;2004;Summer;Swimming;1;15
ARG;2016;Summer;Tennis;1;15
VEN;2008;Summer;Taekwondo;1;25
VEN;2012;Summer;Fencing;1;25
VEN;2016;Summer;Athletics;1;25
VEN;2016;Summer;Boxing;1;25
VEN;2016;Summer;Cycling;1;25
VIE;2000;Summer;Taekwondo;1;24
ALG;2012;Summer;Athletics;1;23
VIE;2008;Summer;Weightlifting;1;24
ALG;2000;Summer;Boxing;1;23
GER;2012;Summer;Taekwondo;1;9
AFG;2012;Summer;Taekwondo;1;13
VEN;2004;Summer;Taekwondo;1;25
GER;2016;Summer;Diving;1;9
AUS;2000;Summer;Triathlon;1;22
AUS;2000;Summer;Trampolining;1;22
GRE;2000;Summer;Taekwondo;1;15
GRE;2000;Summer;Gymnastics;1;15
USA;2006;Winter;Freestyle Skiing;1;9
USA;2008;Summer;Boxing;1;9
USA;2008;Summer;Judo;1;9
GER;2016;Summer;Wrestling;1;9
GER;2016;Summer;Tennis;1;9
AUS;2000;Summer;Judo;1;22
ARG;2016;Summer;Judo;1;15
USA;2014;Winter;Luge;1;9
AUT;2000;Summer;Athletics;1;6
USA;2016;Summer;Golf;1;9
GER;2016;Summer;Boxing;1;9
USA;2016;Summer;Sailing;1;9
AUS;2000;Summer;Archery;1;22
USA;2016;Summer;Taekwondo;1;9
USA;2016;Summer;Triathlon;1;9
USA;2016;Summer;Weightlifting;1;9
ARM;2012;Summer;Weightlifting;1;7
UZB;2000;Summer;Wrestling;1;12
ARM;2008;Summer;Boxing;1;7
ARM;2000;Summer;Weightlifting;1;7
GER;2016;Summer;Judo;1;9
BEL;2012;Summer;Judo;1;10
AUS;2016;Summer;Shooting;1;22
TOG;2008;Summer;Canoeing;1;10
BLR;2000;Summer;Modern Pentathlon;1;6
BLR;2000;Summer;Judo;1;6
TPE;2000;Summer;Table Tennis;1;10
BEL;2016;Summer;Swimming;1;10
BEL;2016;Summer;Judo;1;10
HUN;2000;Summer;Shooting;1;11
HUN;2000;Summer;Modern Pentathlon;1;11
BEL;2016;Summer;Athletics;1;10
TJK;2016;Summer;Athletics;1;2
BEL;2012;Summer;Sailing;1;10
TJK;2012;Summer;Boxing;1;2
HUN;2000;Summer;Gymnastics;1;11
BEL;2004;Summer;Tennis;1;10
BEL;2004;Summer;Judo;1;10
BEL;2004;Summer;Cycling;1;10
HUN;2000;Summer;Fencing;1;11
TPE;2012;Summer;Taekwondo;1;10
TPE;2012;Summer;Weightlifting;1;10
BDI;2016;Summer;Athletics;1;20
BAR;2000;Summer;Athletics;1;26
HUN;2000;Summer;Boxing;1;11
HKG;2012;Summer;Cycling;1;10
BEL;2012;Summer;Shooting;1;10
BLR;2006;Winter;Freestyle Skiing;1;6
HUN;2004;Summer;Athletics;1;11
BLR;2012;Summer;Shooting;1;6
SYR;2004;Summer;Boxing;1;18
HUN;2000;Summer;Wrestling;1;11
BLR;2010;Winter;Freestyle Skiing;1;6
THA;2000;Summer;Weightlifting;1;26
THA;2004;Summer;Taekwondo;1;26
HUN;2000;Summer;Weightlifting;1;11
RSA;2016;Summer;Triathlon;1;18
THA;2008;Summer;Weightlifting;1;26
BLR;2000;Summer;Rowing;1;6
THA;2012;Summer;Taekwondo;1;26
TUN;2008;Summer;Swimming;1;19
BLR;2004;Summer;Wrestling;1;6
THA;2012;Summer;Weightlifting;1;26
BLR;2004;Summer;Shooting;1;6
HUN;2000;Summer;Swimming;1;11
BLR;2004;Summer;Judo;1;6
BLR;2004;Summer;Cycling;1;6
TJK;2008;Summer;Judo;1;2
TJK;2008;Summer;Wrestling;1;2
BLR;2004;Summer;Athletics;1;6
BLR;2002;Winter;Freestyle Skiing;1;6
BLR;2000;Summer;Wrestling;1;6
IRI;2012;Summer;Athletics;1;17
AUT;2004;Summer;Triathlon;1;6
TUR;2016;Summer;Taekwondo;1;11
AUT;2010;Winter;Freestyle Skiing;1;6
TUR;2016;Summer;Weightlifting;1;11
UAE;2004;Summer;Shooting;1;27
AUT;2008;Summer;Swimming;1;6
AUT;2008;Summer;Judo;1;6
AUT;2008;Summer;Canoeing;1;6
AUT;2006;Winter;Snowboarding;1;6
UAE;2016;Summer;Judo;1;27
UGA;2012;Summer;Athletics;1;23
TTO;2004;Summer;Swimming;1;26
AUT;2006;Winter;Cross Country Skiing;1;6
GRE;2016;Summer;Swimming;1;15
UKR;2000;Summer;Judo;1;8
AUT;2004;Summer;Shooting;1;6
AUT;2004;Summer;Judo;1;6
AUT;2002;Winter;Skeleton;1;6
UKR;2000;Summer;Shooting;1;8
AUT;2002;Winter;Luge;1;6
UKR;2000;Summer;Trampolining;1;8
AUT;2002;Winter;Biathlon;1;6
GRE;2016;Summer;Gymnastics;1;15
UKR;2004;Summer;Fencing;1;8
SWE;2016;Summer;Shooting;1;19
GER;2008;Summer;Athletics;1;9
TUR;2004;Summer;Boxing;1;11
UKR;2004;Summer;Gymnastics;1;8
TUN;2012;Summer;Athletics;1;19
TUN;2016;Summer;Fencing;1;19
TUN;2016;Summer;Taekwondo;1;19
TUN;2016;Summer;Wrestling;1;19
TUR;2000;Summer;Judo;1;11
AZE;2012;Summer;Weightlifting;1;12
TUR;2000;Summer;Taekwondo;1;11
TUR;2000;Summer;Weightlifting;1;11
GUA;2012;Summer;Athletics;1;23
AZE;2008;Summer;Boxing;1;12
TUR;2016;Summer;Athletics;1;11
TUR;2004;Summer;Athletics;1;11
TUR;2012;Summer;Wrestling;1;11
AZE;2000;Summer;Wrestling;1;12
AZE;2000;Summer;Shooting;1;12
AZE;2000;Summer;Boxing;1;12
TUR;2004;Summer;Taekwondo;1;11
TUR;2008;Summer;Athletics;1;11
TUR;2008;Summer;Boxing;1;11
GRN;2016;Summer;Athletics;1;10
TUR;2008;Summer;Weightlifting;1;11
GRN;2012;Summer;Athletics;1;10
GER;2006;Winter;Snowboarding;1;9
TTO;2016;Summer;Athletics;1;26
AZE;2004;Summer;Wrestling;1;12
LTU;2016;Summer;Weightlifting;1;6
MDA;2000;Summer;Boxing;1;9
ESP;2016;Summer;Cycling;1;13
LTU;2008;Summer;Wrestling;1;6
LTU;2012;Summer;Boxing;1;6
ESP;2016;Summer;Badminton;1;13
LTU;2012;Summer;Canoeing;1;6
ESP;2012;Summer;Wrestling;1;13
LTU;2012;Summer;Modern Pentathlon;1;6
ESP;2012;Summer;Triathlon;1;13
LTU;2012;Summer;Swimming;1;6
ITA;2010;Winter;Short Track Speed Skating;1;13
GBR;2004;Summer;Modern Pentathlon;1;12
LTU;2008;Summer;Athletics;1;6
MAR;2000;Summer;Boxing;1;17
ITA;2010;Winter;Nordic Combined;1;13
MAR;2012;Summer;Athletics;1;17
MAR;2016;Summer;Boxing;1;17
MAS;2008;Summer;Badminton;1;25
MAS;2012;Summer;Badminton;1;25
MAS;2012;Summer;Diving;1;25
MAS;2016;Summer;Cycling;1;25
ESP;2008;Summer;Gymnastics;1;13
ESP;2008;Summer;Fencing;1;13
IRI;2008;Summer;Wrestling;1;17
LTU;2012;Summer;Wrestling;1;6
EST;2010;Winter;Cross Country Skiing;1;5
FIN;2000;Summer;Shooting;1;2
LAT;2008;Summer;Cycling;1;6
FIN;2000;Summer;Athletics;1;2
LAT;2008;Summer;Weightlifting;1;6
GBR;2004;Summer;Boxing;1;12
LAT;2010;Winter;Skeleton;1;6
ITA;2012;Summer;Cycling;1;13
LAT;2012;Summer;Cycling;1;6
LAT;2014;Winter;Skeleton;1;6
LTU;2000;Summer;Athletics;1;6
LTU;2008;Summer;Sailing;1;6
EST;2012;Summer;Athletics;1;5
MDA;2000;Summer;Shooting;1;9
LTU;2000;Summer;Cycling;1;6
EST;2008;Summer;Athletics;1;5
ITA;2012;Summer;Canoeing;1;13
EST;2004;Summer;Rowing;1;5
EST;2004;Summer;Judo;1;5
EST;2004;Summer;Athletics;1;5
LTU;2000;Summer;Shooting;1;6
ITA;2012;Summer;Athletics;1;13
EST;2000;Summer;Athletics;1;5
ESP;2016;Summer;Weightlifting;1;13
LTU;2004;Summer;Modern Pentathlon;1;6
EST;2012;Summer;Wrestling;1;5
MGL;2004;Summer;Judo;1;-1
ITA;2010;Winter;Luge;1;13
ECU;2008;Summer;Athletics;1;22
DOM;2016;Summer;Taekwondo;1;25
MEX;2016;Summer;Athletics;1;21
DOM;2008;Summer;Taekwondo;1;25
DOM;2008;Summer;Boxing;1;25
DOM;2004;Summer;Athletics;1;25
DEN;2016;Summer;Wrestling;1;8
MEX;2016;Summer;Boxing;1;21
MEX;2016;Summer;Diving;1;21
EGY;2004;Summer;Taekwondo;1;22
MEX;2016;Summer;Taekwondo;1;21
EGY;2004;Summer;Wrestling;1;22
DEN;2016;Summer;Canoeing;1;8
DEN;2016;Summer;Athletics;1;8
DEN;2012;Summer;Shooting;1;8
MGL;2008;Summer;Judo;1;-1
MGL;2008;Summer;Shooting;1;-1
DEN;2012;Summer;Cycling;1;8
GBR;2008;Summer;Gymnastics;1;12
DEN;2008;Summer;Swimming;1;8
GBR;2008;Summer;Modern Pentathlon;1;12
MGL;2012;Summer;Wrestling;1;-1
MGL;2016;Summer;Boxing;1;-1
MEX;2016;Summer;Modern Pentathlon;1;21
ESP;2000;Summer;Judo;1;13
MDA;2008;Summer;Boxing;1;9
ESP;2004;Summer;Shooting;1;13
ITA;2010;Winter;Cross Country Skiing;1;13
GBR;2006;Winter;Skeleton;1;12
MEX;2000;Summer;Boxing;1;21
MEX;2000;Summer;Diving;1;21
MEX;2000;Summer;Taekwondo;1;21
MEX;2000;Summer;Weightlifting;1;21
MEX;2004;Summer;Athletics;1;21
MEX;2004;Summer;Cycling;1;21
MEX;2012;Summer;Taekwondo;1;21
ESP;2000;Summer;Swimming;1;13
LAT;2008;Summer;Athletics;1;6
ITA;2010;Winter;Alpine Skiing;1;13
ESP;2000;Summer;Gymnastics;1;13
ITA;2008;Summer;Wrestling;1;13
ITA;2008;Summer;Taekwondo;1;13
ESP;2000;Summer;Boxing;1;13
ESP;2000;Summer;Athletics;1;13
ERI;2004;Summer;Athletics;1;26
EGY;2016;Summer;Taekwondo;1;22
EGY;2012;Summer;Wrestling;1;22
EGY;2012;Summer;Fencing;1;22
EGY;2008;Summer;Judo;1;22
ESP;2000;Summer;Taekwondo;1;13
KAZ;2012;Summer;Cycling;1;6
FIN;2000;Summer;Wrestling;1;2
KAZ;2004;Summer;Weightlifting;1;6
FRA;2010;Winter;Nordic Combined;1;11
FRA;2010;Winter;Freestyle Skiing;1;11
FRA;2016;Summer;Taekwondo;1;11
KAZ;2008;Summer;Judo;1;6
FRA;2008;Summer;Weightlifting;1;11
FRA;2008;Summer;Taekwondo;1;11
KAZ;2008;Summer;Taekwondo;1;6
FRA;2008;Summer;Shooting;1;11
KAZ;2000;Summer;Wrestling;1;6
KAZ;2012;Summer;Athletics;1;6
KAZ;2000;Summer;Cycling;1;6
KAZ;2014;Winter;Figure Skating;1;6
KAZ;2016;Summer;Athletics;1;6
GAB;2012;Summer;Taekwondo;1;25
KAZ;2016;Summer;Swimming;1;6
KGZ;2000;Summer;Judo;1;2
ITA;2016;Summer;Wrestling;1;13
GBR;2000;Summer;Boxing;1;12
FRA;2006;Winter;Snowboarding;1;11
FRA;2006;Winter;Freestyle Skiing;1;11
FRA;2006;Winter;Cross Country Skiing;1;11
KOR;2000;Summer;Shooting;1;12
KAZ;2010;Winter;Biathlon;1;6
JOR;2016;Summer;Taekwondo;1;18
JPN;2004;Summer;Archery;1;11
JPN;2002;Winter;Freestyle Skiing;1;11
FRA;2016;Summer;Modern Pentathlon;1;11
JPN;2006;Winter;Figure Skating;1;11
JPN;2008;Summer;Cycling;1;11
JPN;2008;Summer;Fencing;1;11
FRA;2016;Summer;Archery;1;11
JPN;2000;Summer;Wrestling;1;11
FRA;2014;Winter;Ski Jumping;1;11
JPN;2000;Summer;Taekwondo;1;11
KAZ;2004;Summer;Athletics;1;6
JPN;2000;Summer;Athletics;1;11
GBR;2000;Summer;Judo;1;12
FRA;2012;Summer;Wrestling;1;11
JPN;2012;Summer;Weightlifting;1;11
JPN;2014;Winter;Figure Skating;1;11
JPN;2014;Winter;Freestyle Skiing;1;11
JPN;2014;Winter;Nordic Combined;1;11
FRA;2012;Summer;Sailing;1;11
JPN;2016;Summer;Canoeing;1;11
JPN;2016;Summer;Tennis;1;11
JPN;2016;Summer;Weightlifting;1;11
FRA;2012;Summer;Gymnastics;1;11
KAZ;2000;Summer;Athletics;1;6
JPN;2012;Summer;Athletics;1;11
FIN;2006;Winter;Snowboarding;1;2
FIN;2016;Summer;Boxing;1;2
FIN;2014;Winter;Snowboarding;1;2
KOS;2016;Summer;Judo;1;10
KSA;2000;Summer;Athletics;1;25
KSA;2000;Summer;Equestrianism;1;25
FIN;2012;Summer;Athletics;1;2
FIN;2010;Winter;Snowboarding;1;2
KUW;2000;Summer;Shooting;1;25
KUW;2012;Summer;Shooting;1;25
LAT;2000;Summer;Athletics;1;6
FRA;2004;Summer;Tennis;1;11
FIN;2008;Summer;Athletics;1;2
ITA;2012;Summer;Gymnastics;1;13
LAT;2000;Summer;Judo;1;6
LAT;2004;Summer;Athletics;1;6
LAT;2004;Summer;Gymnastics;1;6
FIN;2006;Winter;Freestyle Skiing;1;2
LAT;2004;Summer;Modern Pentathlon;1;6
LAT;2004;Summer;Weightlifting;1;6
FIN;2006;Winter;Alpine Skiing;1;2
FIN;2004;Summer;Wrestling;1;2
FIN;2004;Summer;Shooting;1;2
LAT;2006;Winter;Luge;1;6
MOZ;2000;Summer;Athletics;1;10
LAT;2000;Summer;Gymnastics;1;6
KOR;2012;Summer;Boxing;1;12
FIN;2002;Winter;Freestyle Skiing;1;2
ITA;2014;Winter;Figure Skating;1;13
KOR;2006;Winter;Speed Skating;1;12
FRA;2004;Summer;Judo;1;11
FRA;2004;Summer;Gymnastics;1;11
KOR;2008;Summer;Boxing;1;12
KOR;2008;Summer;Fencing;1;12
KOR;2008;Summer;Gymnastics;1;12
FRA;2004;Summer;Boxing;1;11
KOR;2008;Summer;Wrestling;1;12
FRA;2002;Winter;Freestyle Skiing;1;11
KOR;2016;Summer;Wrestling;1;12
ITA;2012;Summer;Swimming;1;13
KOR;2016;Summer;Weightlifting;1;12
FRA;2000;Summer;Tennis;1;11
FRA;2000;Summer;Taekwondo;1;11
KOR;2012;Summer;Gymnastics;1;12
FRA;2000;Summer;Swimming;1;11
GBR;2002;Winter;Skeleton;1;12
KOR;2012;Summer;Wrestling;1;12
KOR;2014;Winter;Figure Skating;1;12
GBR;2004;Summer;Archery;1;12
ITA;2012;Summer;Judo;1;13
KOR;2016;Summer;Golf;1;12
ITA;2014;Winter;Luge;1;13
KOR;2010;Winter;Figure Skating;1;12
ISR;2004;Summer;Judo;1;19
CRO;2004;Summer;Weightlifting;1;11
POL;2006;Winter;Cross Country Skiing;1;8
POL;2008;Summer;Cycling;1;8
POL;2008;Summer;Gymnastics;1;8
POL;2008;Summer;Weightlifting;1;8
POL;2008;Summer;Wrestling;1;8
GBR;2014;Winter;Skeleton;1;12
CHN;2016;Summer;Sailing;1;11
GBR;2014;Winter;Snowboarding;1;12
AFG;2008;Summer;Taekwondo;1;13
POL;2004;Summer;Weightlifting;1;8
CHN;2016;Summer;Golf;1;11
POL;2004;Summer;Sailing;1;8
POL;2012;Summer;Shooting;1;8
ISR;2000;Summer;Canoeing;1;19
POL;2012;Summer;Wrestling;1;8
POL;2014;Winter;Cross Country Skiing;1;8
ISL;2000;Summer;Athletics;1;2
CHN;2014;Winter;Speed Skating;1;11
IRL;2016;Summer;Sailing;1;9
POL;2016;Summer;Modern Pentathlon;1;8
CHN;2012;Summer;Wrestling;1;11
POL;2016;Summer;Wrestling;1;8
POR;2000;Summer;Athletics;1;15
ISR;2004;Summer;Sailing;1;19
COL;2012;Summer;Weightlifting;1;25
MGL;2016;Summer;Judo;1;-1
CRO;2004;Summer;Swimming;1;11
POL;2000;Summer;Gymnastics;1;8
GBR;2012;Summer;Shooting;1;12
POL;2000;Summer;Shooting;1;8
CRO;2000;Summer;Weightlifting;1;11
GER;2012;Summer;Swimming;1;9
ISR;2008;Summer;Sailing;1;19
COL;2016;Summer;Judo;1;25
POL;2004;Summer;Fencing;1;8
POL;2006;Winter;Biathlon;1;8
COL;2012;Summer;Wrestling;1;25
POR;2008;Summer;Athletics;1;15
COL;2012;Summer;Taekwondo;1;25
COL;2012;Summer;Judo;1;25
ITA;2000;Summer;Boxing;1;13
COL;2012;Summer;Athletics;1;25
COL;2008;Summer;Wrestling;1;25
COL;2008;Summer;Weightlifting;1;25
COL;2004;Summer;Weightlifting;1;25
COL;2004;Summer;Cycling;1;25
COL;2000;Summer;Weightlifting;1;25
CMR;2008;Summer;Athletics;1;25
CMR;2004;Summer;Athletics;1;25
COL;2016;Summer;Athletics;1;25
IRI;2016;Summer;Taekwondo;1;17
QAT;2012;Summer;Athletics;1;27
QAT;2012;Summer;Shooting;1;27
QAT;2016;Summer;Athletics;1;27
IRL;2000;Summer;Athletics;1;9
ROU;2000;Summer;Fencing;1;9
ROU;2000;Summer;Judo;1;9
ROU;2000;Summer;Shooting;1;9
ROU;2004;Summer;Boxing;1;9
GBR;2016;Summer;Judo;1;12
ROU;2008;Summer;Athletics;1;9
POR;2000;Summer;Judo;1;15
ROU;2008;Summer;Judo;1;9
PUR;2012;Summer;Wrestling;1;10
ROU;2012;Summer;Shooting;1;9
IRI;2012;Summer;Taekwondo;1;17
JPN;2002;Winter;Speed Skating;1;11
ROU;2016;Summer;Wrestling;1;9
IRI;2008;Summer;Taekwondo;1;17
GBR;2016;Summer;Tennis;1;12
CHN;2004;Summer;Wrestling;1;11
RSA;2008;Summer;Athletics;1;18
RSA;2012;Summer;Athletics;1;18
CHN;2004;Summer;Trampolining;1;11
RSA;2012;Summer;Canoeing;1;18
CHN;2008;Summer;Cycling;1;11
PRK;2004;Summer;Table Tennis;1;6
PAN;2008;Summer;Athletics;1;25
POR;2008;Summer;Triathlon;1;15
CHN;2012;Summer;Sailing;1;11
GBR;2016;Summer;Golf;1;12
CHN;2012;Summer;Modern Pentathlon;1;11
POR;2016;Summer;Judo;1;15
PRK;2000;Summer;Boxing;1;6
PRK;2000;Summer;Judo;1;6
PRK;2000;Summer;Weightlifting;1;6
PRK;2000;Summer;Wrestling;1;6
PRK;2004;Summer;Boxing;1;6
QAT;2000;Summer;Weightlifting;1;27
PRK;2004;Summer;Shooting;1;6
PUR;2016;Summer;Tennis;1;10
CHN;2010;Winter;Speed Skating;1;11
PRK;2004;Summer;Weightlifting;1;6
PRK;2008;Summer;Gymnastics;1;6
IRL;2012;Summer;Equestrianism;1;9
PRK;2012;Summer;Judo;1;6
PRK;2012;Summer;Wrestling;1;6
PRK;2016;Summer;Gymnastics;1;6
PRK;2016;Summer;Shooting;1;6
PRK;2016;Summer;Table Tennis;1;6
PUR;2012;Summer;Athletics;1;10
POR;2004;Summer;Cycling;1;15
PRK;2004;Summer;Judo;1;6
CZE;2004;Summer;Modern Pentathlon;1;4
PHI;2016;Summer;Weightlifting;1;26
NED;2016;Summer;Judo;1;9
GBR;2008;Summer;Taekwondo;1;12
CZE;2010;Winter;Alpine Skiing;1;4
GBR;2010;Winter;Skeleton;1;12
CZE;2008;Summer;Rowing;1;4
NGR;2000;Summer;Weightlifting;1;27
CZE;2008;Summer;Athletics;1;4
NGR;2008;Summer;Taekwondo;1;27
NIG;2016;Summer;Taekwondo;1;27
NED;2016;Summer;Boxing;1;9
ITA;2004;Summer;Sailing;1;13
CZE;2012;Summer;Cycling;1;4
ITA;2004;Summer;Judo;1;13
NOR;2000;Summer;Shooting;1;2
CZE;2002;Winter;Freestyle Skiing;1;4
NOR;2000;Summer;Taekwondo;1;2
CZE;2000;Summer;Triathlon;1;4
NOR;2002;Winter;Freestyle Skiing;1;2
CZE;2000;Summer;Boxing;1;4
NOR;2004;Summer;Athletics;1;2
CYP;2012;Summer;Sailing;1;18
NOR;2004;Summer;Cycling;1;2
CUB;2016;Summer;Judo;1;25
CZE;2004;Summer;Sailing;1;4
NED;2010;Winter;Snowboarding;1;9
GBR;2016;Summer;Trampolining;1;12
MRI;2008;Summer;Boxing;1;10
NED;2000;Summer;Archery;1;9
NED;2000;Summer;Judo;1;9
NED;2000;Summer;Sailing;1;9
ITA;2008;Summer;Judo;1;13
DEN;2000;Summer;Shooting;1;8
NED;2004;Summer;Badminton;1;9
NED;2004;Summer;Equestrianism;1;9
NED;2008;Summer;Cycling;1;9
NED;2016;Summer;Gymnastics;1;9
DEN;2000;Summer;Athletics;1;8
NOR;2004;Summer;Sailing;1;2
CZE;2016;Summer;Rowing;1;4
CZE;2016;Summer;Judo;1;4
CZE;2016;Summer;Cycling;1;4
NED;2012;Summer;Gymnastics;1;9
CZE;2016;Summer;Athletics;1;4
ITA;2008;Summer;Cycling;1;13
CZE;2014;Winter;Snowboarding;1;4
NED;2014;Winter;Short Track Speed Skating;1;9
NED;2016;Summer;Athletics;1;9
CZE;2012;Summer;Shooting;1;4
CZE;2012;Summer;Modern Pentathlon;1;4
DEN;2000;Summer;Badminton;1;8
NZL;2008;Summer;Triathlon;1;11
NOR;2016;Summer;Wrestling;1;2
NZL;2000;Summer;Equestrianism;1;11
NZL;2000;Summer;Rowing;1;11
ITA;2002;Winter;Snowboarding;1;13
NZL;2004;Summer;Canoeing;1;11
NZL;2004;Summer;Cycling;1;11
GBR;2012;Summer;Modern Pentathlon;1;12
CRO;2016;Summer;Shooting;1;11
ITA;2002;Winter;Luge;1;13
CRO;2016;Summer;Boxing;1;11
NOR;2004;Summer;Rowing;1;2
CRO;2014;Winter;Alpine Skiing;1;11
NOR;2012;Summer;Fencing;1;2
CRO;2012;Summer;Taekwondo;1;11
CRO;2012;Summer;Shooting;1;11
NZL;2012;Summer;Athletics;1;11
NZL;2012;Summer;Canoeing;1;11
CRO;2012;Summer;Athletics;1;11
CRO;2010;Winter;Biathlon;1;11
NZL;2016;Summer;Golf;1;11
NZL;2016;Summer;Shooting;1;11
CRO;2008;Summer;Shooting;1;11
CRO;2008;Summer;Gymnastics;1;11
CRO;2008;Summer;Athletics;1;11
NZL;2008;Summer;Sailing;1;11
NOR;2008;Summer;Canoeing;1;2
MKD;2000;Summer;Wrestling;1;10
CUB;2012;Summer;Weightlifting;1;25
CUB;2012;Summer;Taekwondo;1;25
CUB;2012;Summer;Shooting;1;25
NOR;2006;Winter;Alpine Skiing;1;2
NOR;2006;Winter;Freestyle Skiing;1;2
GBR;2012;Summer;Diving;1;12
CUB;2008;Summer;Wrestling;1;25
CUB;2008;Summer;Taekwondo;1;25
CUB;2008;Summer;Shooting;1;25
NOR;2006;Winter;Snowboarding;1;2
NOR;2014;Winter;Snowboarding;1;2
ITA;2004;Summer;Cycling;1;13
NOR;2014;Winter;Ski Jumping;1;2
NOR;2008;Summer;Rowing;1;2
NOR;2008;Summer;Shooting;1;2
ITA;2004;Summer;Boxing;1;13
CUB;2004;Summer;Taekwondo;1;25
CUB;2004;Summer;Shooting;1;25
NOR;2008;Summer;Taekwondo;1;2
ITA;2004;Summer;Archery;1;13
NOR;2010;Winter;Speed Skating;1;2
NOR;2012;Summer;Canoeing;1;2
NOR;2012;Summer;Cycling;1;2
CUB;2016;Summer;Athletics;1;25
CUB;2008;Summer;Cycling;1;25
