NOC;medalla;cantidad
ABR;Silver;3
AFG;Gold;0
AFG;Silver;0
AFG;Bronze;2
ALG;Gold;2
ALG;Silver;4
ALG;Bronze;4
ARG;Gold;70
ARG;Silver;33
ARG;Bronze;58
ARM;Gold;1
ARM;Silver;4
ARM;Bronze;9
AUS;Gold;186
AUS;Silver;262
AUS;Bronze;247
AUT;Gold;40
AUT;Silver;38
AUT;Bronze;42
AZE;Gold;7
AZE;Silver;11
AZE;Bronze;25
BAH;Gold;12
BAH;Silver;6
BAH;Bronze;12
BAR;Gold;0
BAR;Silver;0
BAR;Bronze;1
BDI;Gold;0
BDI;Bronze;0
BDI;Silver;1
BEL;Gold;4
BEL;Silver;25
BEL;Bronze;10
BLR;Gold;23
BLR;Silver;36
BLR;Bronze;53
BOT;Gold;0
BOT;Bronze;0
BOT;Silver;1
BRA;Gold;82
BRA;Silver;107
BRA;Bronze;86
BRN;Gold;1
BRN;Silver;1
BRN;Bronze;1
BUL;Gold;8
BUL;Silver;12
BUL;Bronze;28
CAN;Gold;231
CAN;Silver;124
CAN;Bronze;171
CHI;Gold;3
CHI;Silver;1
CHI;Bronze;18
CHN;Gold;283
CHN;Silver;190
CHN;Bronze;182
CIV;Silver;0
CIV;Gold;1
CIV;Bronze;1
CMR;Gold;20
CMR;Silver;0
CMR;Bronze;0
COL;Gold;5
COL;Silver;6
COL;Bronze;10
CRC;Gold;0
CRC;Silver;0
CRC;Bronze;2
CRO;Gold;42
CRO;Silver;30
CRO;Bronze;34
CUB;Gold;62
CUB;Silver;82
CUB;Bronze;55
CYP;Gold;0
CYP;Bronze;0
CYP;Silver;1
CZE;Gold;17
CZE;Silver;30
CZE;Bronze;61
DEN;Gold;61
DEN;Silver;26
DEN;Bronze;43
DOM;Gold;3
DOM;Silver;2
DOM;Bronze;1
ECU;Gold;0
ECU;Bronze;0
ECU;Silver;1
EGY;Gold;1
EGY;Silver;3
EGY;Bronze;7
ERI;Gold;0
ERI;Silver;0
ERI;Bronze;1
ESP;Gold;28
ESP;Silver;135
ESP;Bronze;87
EST;Gold;6
EST;Silver;6
EST;Bronze;10
ETH;Gold;14
ETH;Silver;8
ETH;Bronze;15
FIJ;Silver;0
FIJ;Bronze;0
FIJ;Gold;13
FIN;Gold;13
FIN;Silver;53
FIN;Bronze;86
FRA;Gold;132
FRA;Silver;166
FRA;Bronze;138
GAB;Gold;0
GAB;Bronze;0
GAB;Silver;1
GBR;Gold;189
GBR;Silver;160
GBR;Bronze;132
GEO;Gold;8
GEO;Silver;6
GEO;Bronze;16
GER;Gold;287
GER;Silver;238
GER;Bronze;299
GRE;Gold;15
GRE;Silver;28
GRE;Bronze;23
GRN;Bronze;0
GRN;Gold;1
GRN;Silver;1
GUA;Gold;0
GUA;Bronze;0
GUA;Silver;1
HKG;Gold;0
HKG;Silver;2
HKG;Bronze;1
HUN;Gold;89
HUN;Silver;55
HUN;Bronze;24
INA;Gold;7
INA;Silver;10
INA;Bronze;9
IND;Gold;1
IND;Silver;4
IND;Bronze;8
IOA;Silver;0
IOA;Gold;1
IOA;Bronze;1
IRI;Gold;13
IRI;Silver;8
IRI;Bronze;11
IRL;Gold;1
IRL;Silver;6
IRL;Bronze;5
ISL;Gold;0
ISL;Silver;14
ISL;Bronze;1
ISR;Silver;0
ISR;Gold;1
ISR;Bronze;5
ITA;Gold;94
ITA;Silver;145
ITA;Bronze;177
JAM;Gold;30
JAM;Silver;50
JAM;Bronze;25
JOR;Gold;1
JOR;Silver;0
JOR;Bronze;0
JPN;Gold;75
JPN;Silver;133
JPN;Bronze;149
KAZ;Gold;16
KAZ;Silver;19
KAZ;Bronze;26
KEN;Gold;17
KEN;Silver;21
KEN;Bronze;15
KGZ;Gold;0
KGZ;Silver;1
KGZ;Bronze;2
KOR;Gold;130
KOR;Silver;101
KOR;Bronze;117
KOS;Silver;0
KOS;Bronze;0
KOS;Gold;1
KSA;Silver;1
KSA;Bronze;5
KSA;Gold;0
KUW;Gold;0
KUW;Silver;0
KUW;Bronze;2
LAT;Gold;3
LAT;Silver;14
LAT;Bronze;11
LTU;Gold;5
LTU;Silver;7
LTU;Bronze;25
MAR;Gold;2
MAS;Gold;0
MAS;Silver;9
MAS;Bronze;2
MAY;Bronze;7
MDA;Gold;0
MDA;Silver;1
MDA;Bronze;4
MEX;Gold;19
MEX;Silver;13
MEX;Bronze;11
MGL;Gold;2
MGL;Silver;5
MGL;Bronze;5
MKD;Gold;0
MKD;Silver;0
MKD;Bronze;1
MNE;Gold;0
MNE;Bronze;0
MNE;Silver;14
MOZ;Silver;0
MOZ;Bronze;0
MOZ;Gold;1
MRI;Gold;0
MRI;Silver;0
MRI;Bronze;1
NED;Gold;123
NED;Silver;167
NED;Bronze;104
NGR;Gold;6
NGR;Silver;18
NGR;Bronze;33
NIG;Gold;0
NIG;Bronze;0
NIG;Silver;1
NOR;Gold;115
NOR;Silver;49
NOR;Bronze;83
NZL;Gold;24
NZL;Silver;32
NZL;Bronze;32
PAN;Silver;0
PAN;Bronze;0
PAN;Gold;1
PAR;Gold;0
PAR;Silver;17
PAR;Bronze;0
PHI;Gold;0
PHI;Bronze;0
PHI;Silver;1
POL;Gold;27
POL;Silver;39
POL;Bronze;41
POR;Gold;1
POR;Silver;5
POR;Bronze;4
PRK;Gold;8
PRK;Silver;9
PRK;Bronze;11
PUR;Gold;1
PUR;Silver;1
PUR;Bronze;1
QAT;Gold;0
QAT;Silver;1
QAT;Bronze;3
ROU;Gold;61
ROU;Silver;22
ROU;Bronze;56
RSA;Gold;12
RSA;Silver;15
RSA;Bronze;21
RUS;Gold;320
RUS;Silver;270
RUS;Bronze;355
SCG;Gold;11
SCG;Silver;14
SCG;Bronze;13
SGP;Gold;1
SGP;Silver;3
SGP;Bronze;4
SLO;Gold;8
SLO;Silver;11
SLO;Bronze;18
SRB;Gold;15
SRB;Silver;29
SRB;Bronze;41
SRI;Silver;1
SRI;Gold;0
SRI;Bronze;0
SUD;Gold;0
SUD;Bronze;0
SUD;Silver;1
SUI;Gold;33
SUI;Silver;37
SUI;Bronze;64
SVK;Gold;14
SVK;Silver;18
SVK;Bronze;12
SWE;Gold;67
SWE;Silver;128
SWE;Bronze;65
SYR;Gold;0
SYR;Silver;0
SYR;Bronze;1
THA;Gold;8
THA;Silver;7
THA;Bronze;9
TJK;Gold;1
TJK;Silver;1
TJK;Bronze;2
TOG;Gold;0
TOG;Silver;0
TOG;Bronze;1
TPE;Gold;3
TPE;Silver;6
TPE;Bronze;16
TTO;Gold;6
TTO;Silver;6
TTO;Bronze;8
TUN;Gold;2
TUN;Silver;1
TUN;Bronze;4
TUR;Gold;10
TUR;Silver;11
TUR;Bronze;15
UAE;Gold;1
UAE;Bronze;1
UAE;Silver;0
UGA;Gold;1
UGA;Silver;0
UGA;Bronze;0
UKR;Gold;36
UKR;Silver;46
UKR;Bronze;80
URU;Gold;0
URU;Bronze;0
URU;Silver;1
USA;Gold;700
USA;Silver;519
USA;Bronze;412
UZB;Gold;9
UZB;Silver;6
UZB;Bronze;16
VEN;Gold;1
VEN;Silver;1
VEN;Bronze;5
VIE;Bronze;0
VIE;Gold;1
VIE;Silver;3
ZIM;Gold;2
ZIM;Silver;4
ZIM;Bronze;1
